epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,29861.9,1.68906,0.9339,0.96831,0.76554,0.6152,0.69728,0.33122,1.68872,0.93486,0.97428,0.001585,0.001585,0.001585
172,30036.4,1.66984,0.91499,0.9763,0.76093,0.61758,0.69731,0.33118,1.68878,0.93486,0.97421,0.0015355,0.0015355,0.0015355
173,30210.4,1.67696,0.92968,0.97355,0.75823,0.61923,0.69746,0.33137,1.68853,0.93463,0.97436,0.001486,0.001486,0.001486
174,30384.9,1.67464,0.92693,0.97793,0.75783,0.61901,0.69756,0.33156,1.68854,0.9338,0.97433,0.0014365,0.0014365,0.0014365
175,30558.6,1.66166,0.91823,0.97387,0.76458,0.61579,0.69738,0.33143,1.68827,0.93398,0.97444,0.001387,0.001387,0.001387
176,30732.9,1.66273,0.91259,0.97213,0.76027,0.61765,0.6966,0.33138,1.68843,0.93399,0.97442,0.0013375,0.0013375,0.0013375
177,30905.7,1.67679,0.92634,0.97142,0.76127,0.61704,0.69655,0.3312,1.68867,0.93368,0.97442,0.001288,0.001288,0.001288
178,31078.3,1.67492,0.92898,0.97117,0.76102,0.61687,0.69646,0.33109,1.68859,0.93368,0.97432,0.0012385,0.0012385,0.0012385
179,31250.9,1.68059,0.92574,0.9741,0.76096,0.61622,0.69579,0.33117,1.68872,0.934,0.97426,0.001189,0.001189,0.001189
180,31423.3,1.68705,0.92509,0.96842,0.76031,0.6173,0.69613,0.33109,1.68903,0.9344,0.97422,0.0011395,0.0011395,0.0011395
181,31595.9,1.68246,0.92381,0.96815,0.76099,0.61701,0.69586,0.3309,1.68901,0.93414,0.97419,0.00109,0.00109,0.00109
182,31767.9,1.66845,0.91292,0.97351,0.76048,0.61765,0.69631,0.33109,1.68917,0.93433,0.97432,0.0010405,0.0010405,0.0010405
183,31940.3,1.69466,0.93255,0.96575,0.76037,0.61751,0.69591,0.33108,1.68943,0.93417,0.97429,0.000991,0.000991,0.000991
